,Word,Count
1058,requires,3
1057,power,3
1056,lil,3
1136,ta,3
1072,mucho,3
1073,perfect,3
1075,allow,3
1085,mind.,3
1092,"up,",3
1091,best.,3
1090,school,3
1089,leave,3
1088,@heretv,3
1087,"out,",3
1086,media,3
1084,quite,3
1076,solo,3
1083,appreciate,3
1082,5.,3
1081,today?,3
1080,speaking,3
1079,repeat,3
1078,"""stranger",3
1077,"""a",3
1135,binging,3
1179,petition!,3
1137,doesn’t,3
1138,wat…,3
1195,platform,3
1194,cable,3
1193,slutty,3
1192,travel,3
1191,performance,3
1190,order,3
1189,https://t.co/dtceyjbzpk,3
1188,putting,3
1187,leaving),3
1186,scary,3
1185,😭😭,3
1184,designated,3
1183,balances,3
1182,t,3
1181,whatever,3
1180,@specspiderben,3
1054,cup,3
1196,32,3
1197,hilarious.,3
1198,happen,3
1208,let's,3
1215,usually,3
1214,isn't,3
1213,audio,3
1212,movie.,3
1211,💯,3
1210,@jeremycorbell,3
1209,podcast,3
1207,mirror,3
1199,🤣,3
1206,starting,3
1205,premiere,3
1204,plot,3
1203,bernard,3
1202,ads,3
1201,☺️,3
1200,mentioned,3
1178,yall,3
1177,13,3
1176,keeps,3
1147,time.,3
1154,figured,3
1153,#strangerthings,3
1152,staying,3
1151,tha…,3
1150,enjoy,3
1149,disney,3
1148,somewhere,3
1146,members,3
1156,@iyerthewarrior,3
1145,sum,3
1144,window,3
1143,date,3
1142,society,3
1141,iglesias,3
1140,willing,3
1139,meets,3
1155,mother,3
1157,easy,3
1175,sounds,3
1167,dns,3
1174,@showtime,3
1173,days.,3
1172,theaters,3
1171,turned,3
1170,planning,3
1169,ufo,3
1168,@amazonvideo,3
1166,@sethrogen,3
1158,@youtube,3
1165,young,3
1164,🤔,3
1163,hunters,3
1162,d,3
1161,animation,3
1160,alone,3
1159,@ironyisfunny8,3
1055,cried,3
1123,thoughts,3
1053,@thelewistan,3
932,queen,3
950,ha…,3
949,losing,3
948,soooooo,3
947,now!,3
946,r…,3
945,@stranahan,3
944,couldn't,3
943,opening,3
942,@aoc,3
941,secret,3
940,parks,3
939,face,3
938,signs,3
937,#alaskahappyhour,3
936,#spiderman,3
935,eve…,3
934,rewatching,3
951,anybody,3
952,again.,3
953,inside,3
963,cancelled,3
970,mexico,3
969,vpn,3
968,@arilennox,3
967,forever,3
966,haha,3
965,saying,3
964,hearing,3
962,@kylecolby,3
954,@starz,3
961,supposed,3
960,album,3
959,game:,3
958,him.,3
957,neon,3
956,temporada,3
955,✅,3
933,wow.,3
931,tomorrow,3
972,least,3
930,drive,3
908,nbc:,3
907,ya,3
906,(2017),3
905,superhero,3
904,rally,3
903,80%,3
902,too.,3
901,theres,3
900,background,3
899,"ago,",3
898,needed,3
897,daredevil,3
896,english,3
895,blu,3
894,that.,3
893,standup,3
1052,brother,3
909,ain’t,3
910,sets,3
911,recent,3
922,soundtrack,3
929,smart,3
928,seven,3
927,nobody,3
926,s,3
925,familiar,3
924,liars,3
923,ahead,3
921,#netflixandchill,3
912,starts,3
920,prove,3
919,jones,3
917,trash,3
916,php,3
915,shot,3
914,con,3
913,comic,3
971,“netflix,3
918,release,3
973,films,3
1013,friendship,3
1031,moon,3
1030,anyways,3
1029,@showcasedotca,3
1028,sandler,3
1027,important,3
1026,death,3
1025,academy,3
1024,weeks,3
1023,"books,",3
1022,drop,3
1021,videos,3
1020,netflix),3
1019,vs,3
1018,she’s,3
1017,luv,3
1016,know…,3
1015,imagine,3
1032,h…,3
1033,age,3
1034,masterpiece,3
1045,turn,3
1051,subtitles,3
974,blame,3
1050,8,3
1049,it…,3
1048,favourite,3
1047,win,3
1046,remove,3
1044,hang,3
1035,sound,3
1043,^,3
1042,store,3
1041,somebody,3
1040,punisher,3
1039,dm,3
1037,chill.,3
1036,system,3
1014,getting…,3
1038,up.,3
1012,ratings,3
993,babe,3
991,wine,3
990,#intothespiderverse,3
989,per,3
988,hyped,3
987,besides,3
986,chance,3
985,@heremediainc,3
984,@davidmatranga1,3
982,block,3
981,l,3
980,sharing,3
979,deep,3
978,$nflx,3
977,action,3
1011,wired,3
976,#saturdaymorning,3
975,canada,3
992,around,3
983,ur,3
994,perfection,3
1001,launch,3
1008,tears,3
1009,lying,3
995,victoria,3
1007,#tv,3
1006,in.,3
1005,@marnie,3
1003,discovery…,3
1002,during,3
1004,telling,3
998,tonight.,3
1010,tribute,3
996,tired,3
999,hill,3
997,million,3
1000,tapes,3
1811,drugs,2
1817,"""get",2
1816,stupid,2
1815,rainy,2
1813,laughed,2
1814,time’,2
1812,@brave,2
1809,promo,2
1810,//,2
1819,capture,2
1818,idea,2
1826,information,2
1820,may,2
1821,interest,2
1822,killer.,2
1823,cool.,2
1824,manor,2
1825,mcu,2
1827,meal,2
1828,(netflix),2
1829,tweet,2
1807,switch,2
1830,password,2
1832,@varunkrish,2
1831,invented,2
1808,experience,2
1789,mr,2
1806,highlight,2
1805,dope,2
1781,enough,2
1834,it?,2
1780,al…,2
1782,netflix/hulu,2
1783,nao,2
1784,hip,2
1785,women’s,2
1786,@bossshogg,2
1787,ca,2
1788,y'all,2
1790,owning,2
1791,words,2
1792,cinemas,2
1793,💛,2
1794,ashley,2
1795,war,2
1796,documentary.,2
1797,raised,2
1798,careful,2
1799,@bengoertzel,2
1800,k,2
1801,@vespasianfk,2
1802,"hi,",2
1803,amy,2
1804,activities,2
1833,atypical,2
1873,2),2
1835,@dariusrucker,2
1878,trish,2
1866,theme,2
1867,pop,2
1868,it!!,2
1869,changed,2
1870,hate,2
1871,estreia,2
1872,💌,2
1874,netfli…,2
1875,who…,2
1876,year!,2
1877,sister,2
1879,adv,2
1864,aoc,2
1880,nge,2
1881,continues,2
1882,popeye’s,2
1883,👌,2
1884,here!,2
1885,annoyed,2
1886,each,2
1887,trailers,2
1888,jeopardy,2
1778,j…,2
1889,wont,2
1865,offer,2
1863,"netflix""",2
1836,chats,2
1849,#tvtalk,2
1837,assuming,2
1838,taxing,2
1839,science,2
1840,switching,2
1841,"jones""",2
1842,#news,2
1843,fleabag,2
1844,minute,2
1845,#instanthotel,2
1846,y…,2
1848,🤞🏽,2
1850,load,2
1862,netflix..,2
1851,"please,",2
1852,@lastchanceu,2
1853,fucked,2
1854,good!,2
1855,attack,2
1856,people.,2
1857,include,2
1858,hopes,2
1859,stars,2
1860,africa,2
1861,#glee,2
1779,we’ve,2
1697,"done,",2
1777,move,2
1776,chef,2
1694,anxiety,2
1695,@thepeakyblinder,2
1696,usa🇺🇸,2
1698,worse,2
1699,@chrisdelia,2
1700,drink,2
1701,“when,2
1702,twilight,2
1703,😏,2
1704,longer,2
1705,please.,2
1706,'lies',2
1707,mi,2
1708,[hd],2
1709,hidden,2
1710,1&amp;2,2
1711,60,2
1712,doesn't,2
1713,cold,2
1714,side,2
1715,exactly.,2
1716,@theashenluca,2
1717,underrated,2
1718,join,2
1719,departure,2
1693,ash…,2
1692,front,2
1691,sci-fi,2
1678,exposed,2
1891,girlfriends,2
1668,brown,2
1669,energy,2
1670,great!,2
1671,♥️,2
1672,“stranger,2
1673,@artworkrpw,2
1674,walked,2
1675,releases,2
1676,7pm!,2
1677,admin-nim!,2
1679,@dancelight623,2
1690,entire,2
1680,dc,2
1681,gusto,2
1682,promotes,2
1683,@atomiccorey,2
1684,@themsbrit,2
1685,&gt;,2
1686,11th,2
1667,reminder,2
1687,used,2
1688,canadian,2
1689,soooo,2
1720,reaching,2
1721,@the_crapgamer,2
1722,casa,2
1763,net…,2
1752,table,2
1753,‘dark’,2
1754,us”,2
1755,laying,2
1756,together,2
1757,@kat_s_galaxy,2
1758,3),2
1759,staggering,2
1760,deleted,2
1761,disappointed,2
1762,birthday,2
1764,@dj_bern,2
1750,200,2
1765,morning.,2
1766,epic,2
1767,randomly,2
1768,laughing,2
1769,matters,2
1770,captions,2
1771,thomas,2
1772,managed,2
1773,🤣🤣🤣,2
1774,chilling,2
1775,wins,2
1751,cops,2
1749,"family,",2
1723,"in,",2
1735,@cbs,2
1724,solid,2
1725,@kitsumepixie,2
1726,san,2
1727,worried,2
1728,insecure,2
1729,reached,2
1730,piano,2
1731,👏👏,2
1732,tweets,2
1733,e…,2
1734,done.,2
1736,@austin_walker,2
1748,nature,2
1737,(on,2
1738,trevor,2
1739,lets,2
1740,more!,2
1741,:/,2
1742,model,2
1743,mindless,2
1744,"movies,",2
1745,eat,2
1746,af,2
1747,stan,2
1890,"voice""",2
2095,flying,2
1892,#queenofthesouth,2
1893,actual,2
2034,sitting,2
2035,peram,2
2036,@kingjougar,2
2037,pesos,2
2038,pagos,2
2039,either,2
2040,ever.,2
2041,cutie,2
2042,testing,2
2043,on…,2
2044,ends,2
2045,baseball,2
2046,"guys,",2
2047,😅,2
2048,yorke,2
2049,entertained,2
2050,herrmann's,2
2051,dylan,2
2052,"one,",2
2053,sleeping,2
2054,wouldn't,2
2055,sony,2
2056,romance,2
2057,locked,2
2058,fact,2
2033,mood,2
2032,confusing,2
2031,"sleep,",2
2017,@jennabneece,2
2006,"premiere,",2
2007,cartoons,2
2008,@cejfranklin,2
2009,seth,2
2010,request,2
2011,died,2
2012,focus,2
2013,@jbthecryptoking,2
2014,viu,2
2015,wake,2
2016,down.,2
2018,strange,2
2030,heart.,2
2019,pretend,2
2020,spanish,2
2021,felt,2
2022,"oh,",2
2023,read,2
2024,steps,2
2025,throw,2
2026,inc.,2
2027,issa,2
2028,urge,2
2029,sunny,2
2059,stuck,2
2060,@znation,2
2061,effort,2
2103,innocent,2
2091,happy.,2
2092,code,2
2093,@umbrellaacad,2
2094,finna,2
2096,me…,2
2097,london,2
2098,scorsese,2
2099,3ª,2
2100,you’d,2
2101,quitters,2
2102,rogers,2
2104,bought,2
2089,criminal,2
2105,dialect,2
2106,@rokhanna,2
2107,bravo,2
2108,"us""",2
2109,revive,2
2110,#ozark,2
2111,three,2
2112,@mclaireegan,2
2113,noah,2
2114,knew,2
1665,@ishadi,2
2090,examples,2
2088,with…,2
2062,sadly,2
2074,"things"",",2
2063,fine,2
2064,.@netflix,2
2065,ive,2
2066,b99,2
2067,"still,",2
2068,1),2
2069,cream,2
2070,temporarily,2
2071,castlevania,2
2072,riding,2
2073,com,2
2075,befor…,2
2087,dirty,2
2076,state,2
2077,💓,2
2078,406124x200xxxxx0,2
2079,look.,2
2080,memory,2
2081,#wynonnaearp,2
2082,fans,2
2083,'the,2
2084,tour,2
2085,clothes.,2
2086,@aleehthegreat,2
2005,discovered,2
2004,halfway,2
2003,#whiskeycavalier…,2
1933,struggling,2
1922,hehe,2
1923,thing.,2
1924,awesome.,2
1925,drug,2
1926,gif,2
1927,lose,2
1928,mention,2
1929,first…,2
1930,showing,2
1931,🍷,2
1932,apparently,2
1934,jim,2
1920,7seeds,2
1935,@nethilez,2
1936,helped,2
1937,"2019,",2
1938,consider,2
1939,mins,2
1940,ste…,2
1941,joke,2
1942,😳,2
1943,monica,2
1944,"really,",2
1945,gem,2
1921,sophia,2
1919,seriously,2
1947,bolivar,2
1905,@brianpiotrzkow1,2
1894,@chrishell7,2
1895,bet,2
1896,hood,2
1897,conjuring,2
1898,"yes,",2
1899,burning,2
1900,so…,2
1901,cover,2
1902,dutch,2
1903,lay,2
1904,beginning.,2
1906,remake,2
1918,eva,2
1907,#shaft,2
1908,drinking,2
1909,returning,2
1910,"which,",2
1911,rn,2
1912,producer,2
1913,boyfriend,2
1914,@jf_niko,2
1915,"20,000",2
1916,ain't,2
1917,@adamdevine,2
1946,screenshot,2
1948,"office,",2
2002,pago🍏,2
1989,already..,2
1978,too!,2
1979,@seanefrye,2
1980,affair,2
1981,call,2
1982,chose,2
1983,somehow,2
1984,solved,2
1985,promise.,2
1986,@germancryptoinv,2
1987,fuller,2
1988,review,2
1990,ladies,2
1976,releasing,2
1991,sort,2
1992,yoooooooo,2
1993,tea,2
1994,@aimee_garcia,2
1995,steaming,2
1996,✨,2
1997,final,2
1998,fifa,2
1999,tbh,2
2000,snapchat,2
2001,possible,2
1977,totally,2
1975,paused,2
1949,ng,2
1961,thor,2
1950,cop,2
1951,***,2
1952,queue,2
1953,email,2
1954,cheap,2
1955,history,2
1956,branquelas,2
1957,hints,2
1958,do.,2
1959,kn…,2
1960,interested,2
1962,chill”,2
1974,greatest,2
1963,drunk,2
1964,checked,2
1965,b,2
1966,"""lucifer""",2
1967,sleep.,2
1968,knock,2
1969,suggestion,2
1970,@idwpublishing,2
1971,@justdesmund,2
1972,@romudeth,2
1973,netflix?!,2
1666,@simkinsjourno,2
1847,appear,2
1664,whil…,2
1327,christians,2
1357,cousin,2
1358,'s,2
1359,@keithallanduh,2
1360,horrible,2
1361,“i,2
1362,@ashthorp,2
1363,plane,2
1364,scene,2
1365,prepare,2
1366,customer,2
1367,here:,2
1368,faith,2
1369,@allday_digital,2
1370,clean,2
1371,superior,2
1372,51,2
1373,riverdale,2
1374,battle,2
1375,darling,2
1376,pirating,2
1377,after…,2
1378,👀,2
1379,russian,2
1380,letterman,2
1381,"week,",2
1356,@fallinallinarix,2
1355,catch,2
1354,off.,2
1340,@nand_y_,2
1329,link,2
1330,oof,2
1331,bird,2
1332,dawn,2
1333,rent,2
1334,anymore.,2
1335,"chill,",2
1336,there?,2
1337,cuz,2
1338,problem,2
1339,taco,2
1341,hug,2
1353,co-creator,2
1342,screwed,2
1343,small,2
1344,giveaway,2
1345,oitnb,2
1346,journey,2
1347,@idwentertain,2
1348,doubt,2
1349,@nbcbrooklyn99,2
1350,"monica,",2
1351,invested,2
1352,picked,2
1382,talk.,2
1383,17,2
1384,"on,",2
1425,imma,2
1414,earth,2
1415,violent,2
1416,hd,2
1417,adaptation,2
1418,"back,",2
1419,hoping,2
1420,@deadline,2
1421,gay,2
1422,them.,2
1423,(28,2
1424,test,2
1426,@kiaraedwardsxo,2
